WBGene00005806,srw-59
WBGene00005803,srw-56
WBGene00005804,srw-57
WBGene00005401,srh-186
WBGene00005514,sri-2
WBGene00005513,sri-1
WBGene00005686,sru-23
WBGene00005685,sru-22
WBGene00006262,str-231
WBGene00006264,str-233
WBGene00006263,str-232
WBGene00005934,srx-43
WBGene00005935,srx-44
WBGene00006234,str-198
WBGene00005598,srj-10
WBGene00005616,srj-29
WBGene00009046,F22B8.3
WBGene00006075,str-7
WBGene00009707,srxa-16
WBGene00006092,str-25
WBGene00006158,str-103
WBGene00006280,str-254
WBGene00006154,str-97
WBGene00006155,str-99
WBGene00006159,str-106
WBGene00010590,srz-13
WBGene00005482,srh-277
WBGene00010588,srz-14
WBGene00005486,srh-281
WBGene00005484,srh-279
WBGene00005317,srh-98
WBGene00005323,srh-104
WBGene00005315,srh-95
WBGene00007831,srbc-83
WBGene00044106,srbc-84
WBGene00007832,srbc-82
WBGene00007834,srxa-7
WBGene00006247,str-214
WBGene00005395,srh-180
WBGene00005383,srh-167
WBGene00005834,srw-87
WBGene00012349,W08G11.5
WBGene00005745,srv-34
WBGene00005577,sri-65
WBGene00005140,srd-63
WBGene00008728,sre-36
WBGene00005361,srh-145
WBGene00006120,str-55
WBGene00005795,srw-48
WBGene00005776,srw-29
WBGene00006134,str-73
WBGene00005358,srh-141
WBGene00005359,srh-142
WBGene00005707,sru-44
WBGene00005355,srh-138
WBGene00005782,srw-35
WBGene00005356,srh-139
WBGene00005353,srh-136
WBGene00005654,srr-3
WBGene00012523,srbc-65
WBGene00005708,sru-45
WBGene00006196,str-149
WBGene00006198,str-151
WBGene00006197,str-150
WBGene00005820,srw-73
WBGene00005475,srh-269
WBGene00045356,T03E6.9
WBGene00011397,T03E6.8
WBGene00005801,srw-54
WBGene00194799,Y70C5A.4
WBGene00013490,Y70C5A.2
WBGene00005099,srd-21
WBGene00005823,srw-76
WBGene00005824,srw-77
WBGene00045380,W06G6.15
WBGene00077464,Y70C5B.2
WBGene00006125,str-61
WBGene00008818,srz-101
WBGene00005788,srw-41
WBGene00005354,srh-137
WBGene00012028,srz-99
WBGene00012026,srz-100
WBGene00005770,srw-23
WBGene00005145,srd-68
WBGene00077493,F09C6.16
WBGene00005416,srh-206
WBGene00005338,srh-119
WBGene00005945,srx-54
WBGene00013626,srz-54
WBGene00013629,srz-95
WBGene00006249,str-217
WBGene00005521,sri-9
WBGene00005348,srh-131
WBGene00005581,sri-69
WBGene00005316,srh-97
WBGene00009912,srz-94
WBGene00005578,sri-66
WBGene00005461,srh-255
WBGene00011485,srbc-14
WBGene00006176,str-125
WBGene00005767,srw-20
WBGene00005444,srh-237
WBGene00013938,ZK218.4
WBGene00005321,srh-102
WBGene00009569,srz-66
WBGene00005798,srw-51
WBGene00009568,srbc-26
WBGene00009567,srbc-25
WBGene00009566,srsx-1
WBGene00005390,srh-174
WBGene00005375,srh-159
WBGene00006235,str-199
WBGene00013466,srz-47
WBGene00013468,srz-96
WBGene00005443,srh-236
WBGene00005332,srh-113
WBGene00011840,srbc-62
WBGene00005328,srh-109
WBGene00005458,srh-252
WBGene00005331,srh-112
WBGene00219383,Y61B8A.6
WBGene00005335,srh-116
WBGene00005334,srh-115
WBGene00005582,sri-70
WBGene00009298,srz-58
WBGene00005201,srg-44
WBGene00005339,srh-120
WBGene00005349,srh-132
WBGene00012083,T27C5.10
WBGene00044100,srbc-27
WBGene00008982,srsx-2
WBGene00005370,srh-154
WBGene00005414,srh-203
WBGene00006236,str-200
WBGene00008981,srz-48
WBGene00005819,srw-72
WBGene00005442,srh-235
WBGene00005341,srh-123
WBGene00008574,srbc-61
WBGene00005330,srh-111
WBGene00005337,srh-118
WBGene00005778,srw-31
WBGene00005779,srw-32
WBGene00007678,srz-90
WBGene00014679,srz-25
WBGene00012406,srz-91
WBGene00006148,str-89
WBGene00006151,str-93
WBGene00006150,str-92
WBGene00005255,srh-32
WBGene00005254,srh-31
WBGene00006137,str-77
WBGene00005488,srh-283
WBGene00005489,srh-284
WBGene00008126,sre-21
WBGene00008128,srab-12
WBGene00005494,srh-290
WBGene00005493,srh-289
WBGene00005492,srh-288
WBGene00005909,srx-18
WBGene00005491,srh-287
WBGene00005496,srh-292
WBGene00005495,srh-291
WBGene00005500,srh-296
WBGene00005502,srh-298
WBGene00005504,srh-300
WBGene00005505,srh-301
WBGene00005508,srh-304
WBGene00005507,srh-303
WBGene00005490,srh-286
WBGene00011211,R10E8.5
WBGene00012575,Y37H2C.4
WBGene00005419,srh-209
WBGene00005417,srh-207
WBGene00005829,srw-82
WBGene00005397,srh-182
WBGene00005396,srh-181
WBGene00005394,srh-179
WBGene00005393,srh-178
WBGene00005191,srg-34
WBGene00005522,sri-10
WBGene00005653,srr-2
WBGene00006140,str-81
WBGene00005418,srh-208
WBGene00005831,srw-84
WBGene00045413,C25F9.13
WBGene00005832,srw-85
WBGene00005714,srv-3
WBGene00005785,srw-38
WBGene00005387,srh-171
WBGene00005389,srh-173
WBGene00005398,srh-183
WBGene00005579,sri-67
WBGene00005786,srw-39
WBGene00008947,srz-16
WBGene00005427,srh-217
WBGene00013760,srbc-34
WBGene00005392,srh-177
WBGene00005147,srd-70
WBGene00007127,srbc-78
WBGene00007123,srbc-79
WBGene00005382,srh-166
WBGene00009763,srz-18
WBGene00012846,srxa-14
WBGene00012847,srxa-15
WBGene00015799,C15H9.3
WBGene00021477,srbc-64
WBGene00006084,str-16
WBGene00004779,ser-4
WBGene00005046,sra-20
WBGene00013812,Y116A8C.40
WBGene00012333,sre-43
WBGene00013782,npr-32
WBGene00010071,sre-45
WBGene00006083,str-15
WBGene00012287,sre-33
WBGene00005388,srh-172
WBGene00005789,srw-42
WBGene00005726,srv-15
